trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.2, 'e': 0.5986967916057292}",25,0,-32.37271871162575,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
87,False,"{'a': 0.2, 'e': 0.5951153658775501}",20,10,-40.941581974459304,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.2, 'e': 0.5915553643668151}",20,10,-2.047650957694088,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.5880166589130854}",20,6,-43.60325625557007,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.2, 'e': 0.5844991221225824}",25,13,16.840233090645647,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.5810026273636019}",35,25,-0.5605653677409599,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.5775270487619547}",30,9,23.96031272245629,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.574072261196436}",30,16,-8.233717053289906,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.5706381402943203}",20,0,-144.45833101983393,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
95,False,"{'a': 0.2, 'e': 0.5672245624268841}",20,0,-135.3591979612124,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
96,False,"{'a': 0.2, 'e': 0.5638314047049556}",20,0,-112.54846979472038,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
97,False,"{'a': 0.2, 'e': 0.5604585449744904}",25,0,0.3050597437790932,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.2, 'e': 0.5571058618121739}",35,21,11.291020477020442,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.5537732345210501}",30,0,-38.45754382045133,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.2, 'e': 0.5504605431261766}",20,0,-68.34102490961367,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
101,False,"{'a': 0.2, 'e': 0.5471676683703055}",25,18,6.913169143842227,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.5438944917095899}",25,4,-69.96430127879466,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 1}",1
103,False,"{'a': 0.2, 'e': 0.5406408953093166}",30,0,-57.79567986234095,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.2, 'e': 0.5374067620396636}",20,0,-28.092878322058745,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.2, 'e': 0.5341919754714841}",20,12,6.044711153603064,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.5309964198721143}",25,3,-57.93693639464492,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 1}",1
107,False,"{'a': 0.2, 'e': 0.5278199802012077}",20,0,-7.062410733515939,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.2, 'e': 0.5246625421065929}",20,16,7.971044858353299,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.2, 'e': 0.5215239919201575}",20,5,-26.939728146249788,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.2, 'e': 0.5184042166537559}",25,11,-48.25024759495066,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.2, 'e': 0.5153031039951417}",20,5,-40.108478347253666,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.2, 'e': 0.512220542303924}",30,16,-1.3533555181530665,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.5091564206075492}",20,0,-74.61860928030671,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
114,False,"{'a': 0.2, 'e': 0.5061106285973052}",20,6,5.125785656005099,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.5030830566243506}",20,10,-86.5503118041307,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
116,False,"{'a': 0.2, 'e': 0.5000735956957676}",30,11,28.42214935756634,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.2, 'e': 0.4970821374706377}",25,18,-0.3310524711418641,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.4941085742561417}",20,0,-20.35257415065106,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
119,False,"{'a': 0.2, 'e': 0.49115279900368264}",20,2,10.608436934953193,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.4882147053050323}",20,12,17.078416423795108,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.4852941873885002}",25,19,-1.3317034164504093,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.4823911401151259}",25,3,-9.211374682843775,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.4795054589748941}",30,0,-103.42104207102174,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
124,False,"{'a': 0.2, 'e': 0.47663704008297203}",20,0,-25.182045960854108,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.2, 'e': 0.4737857801759698}",20,10,-30.846515010422575,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.4709515766082228}",20,0,-29.78656303658937,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
127,False,"{'a': 0.2, 'e': 0.4681343273480965}",25,0,-82.64763015516067,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
128,False,"{'a': 0.2, 'e': 0.4653339309743134}",25,16,-53.526392662157164,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 1}",1
129,False,"{'a': 0.2, 'e': 0.4625502866723014}",25,6,-29.692595120376602,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.4597832942305652}",20,7,-36.926340322392065,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.2, 'e': 0.4570328540370779}",20,13,10.419625238605965,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.4542988670756955}",25,3,-56.39683868325866,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
133,False,"{'a': 0.2, 'e': 0.4515812349225922}",20,4,-62.279150574693794,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
134,False,"{'a': 0.2, 'e': 0.448879859742717}",30,0,-101.63575626718843,"{0: 21, 1: 3, 2: 2, 3: 3, 4: 1}",0
135,False,"{'a': 0.2, 'e': 0.44619464428627154}",20,9,-5.254072453033766,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.4435254918852095}",25,7,-119.91911555685934,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 3}",1
137,False,"{'a': 0.2, 'e': 0.4408723064497561}",25,7,-7.845523331193016,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.4382349924649492}",30,7,1.3327855780185602,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.43561345498720044}",25,1,-9.034798680016552,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.43300759964087765}",25,17,17.17166283919942,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.2, 'e': 0.43041733261490667}",20,13,2.3463707763946475,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.427842560659395}",20,16,9.023907993661831,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.42528319108227414}",30,12,-8.967585105736815,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.2, 'e': 0.42273913174596284}",25,1,22.08329139176694,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.2, 'e': 0.4202102910640503}",20,10,-38.024875740986644,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.2, 'e': 0.4176965779979988}",20,8,-5.563168882718079,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.2, 'e': 0.4151979020538666}",20,12,7.019643764327975,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.4127141732790497}",25,17,-2.9887971001275977,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.410245302259044}",25,5,11.234260257920148,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.4077912001142262}",20,12,13.859074222667466,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.405351778496654}",20,13,10.527103348970694,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.40292694958688574}",20,11,1.067989985764713,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.4005166260908188}",25,17,-10.978170395935877,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.39812072123654696}",25,1,-68.6966310601317,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
155,False,"{'a': 0.2, 'e': 0.3957391487712367}",20,7,7.603628308589011,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.3933718229580221}",20,0,-32.22726111908167,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
157,False,"{'a': 0.2, 'e': 0.3910186585729182}",25,13,15.150545339522111,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.388679570901753}",20,2,-6.639938949713148,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.3863544757371177}",25,14,5.598403343811895,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
